station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KILN,2010-10-23 12:00:00,5,25.7,24798.0,-54.9,-69.9,M,M,M,M
KILN,2010-10-23 12:00:00,5,23.9,25264.0,-52.1,-67.1,M,M,M,M
KILN,2010-10-23 12:00:00,6,23.8,25298.0,M,M,245.0,31,98.0,40.0
KILN,2010-10-23 12:00:00,5,20.8,26157.0,-54.1,-69.1,M,M,M,M
KILN,2010-10-23 12:00:00,4,20.0,26410.0,-53.5,-68.5,275.0,29,97.0,42.0
KILN,2010-10-23 12:00:00,6,19.7,26517.0,M,M,275.0,29,97.0,42.0
KILN,2010-10-23 12:00:00,6,17.1,27432.0,M,M,270.0,29,97.0,43.0
KILN,2010-10-23 12:00:00,5,16.6,27611.0,-51.3,-68.3,M,M,M,M
KILN,2010-10-23 12:00:00,5,14.5,28484.0,-53.1,-70.1,M,M,M,M
KILN,2010-10-23 12:00:00,6,14.1,28651.0,M,M,255.0,32,96.0,45.0
KILN,2010-10-23 12:00:00,5,11.4,30036.0,-51.3,-70.3,M,M,M,M
KILN,2010-10-23 12:00:00,6,10.7,30480.0,M,M,260.0,56,95.0,49.0
KILN,2010-10-23 12:00:00,4,10.0,30900.0,-52.7,-72.7,270.0,56,94.0,51.0
KILN,2010-10-23 12:00:00,6,9.3,31394.0,M,M,260.0,61,94.0,52.0
KILN,2010-10-23 12:00:00,5,9.2,31439.0,-50.7,-70.7,M,M,M,M
KILN,2010-10-24 00:00:00,9,981.0,317.0,18.4,0.3,160.0,4,0.0,0.0
KILN,2010-10-24 00:00:00,4,1000.0,152.0,M,M,M,M,M,M
KILN,2010-10-24 00:00:00,5,978.0,343.0,20.8,-1.2,M,M,M,M
KILN,2010-10-24 00:00:00,5,975.0,369.0,22.0,-2.0,M,M,M,M
KILN,2010-10-24 00:00:00,5,963.0,476.0,22.0,-4.0,M,M,M,M
KILN,2010-10-24 00:00:00,6,948.4,609.0,M,M,170.0,16,344.0,0.0
KILN,2010-10-24 00:00:00,4,925.0,827.0,19.0,-6.0,185.0,22,352.0,0.0
KILN,2010-10-24 00:00:00,6,915.5,914.0,M,M,185.0,23,354.0,0.0
KILN,2010-10-24 00:00:00,6,883.1,1219.0,M,M,200.0,21,2.0,0.0
KILN,2010-10-24 00:00:00,5,857.0,1472.0,13.6,-6.3,M,M,M,M
KILN,2010-10-24 00:00:00,6,851.9,1524.0,M,M,220.0,32,11.0,1.0
KILN,2010-10-24 00:00:00,4,850.0,1544.0,14.0,-6.0,215.0,30,12.0,1.0
KILN,2010-10-24 00:00:00,5,846.0,1584.0,14.0,-6.0,M,M,M,M
KILN,2010-10-24 00:00:00,6,821.6,1828.0,M,M,230.0,32,20.0,1.0
KILN,2010-10-24 00:00:00,6,792.0,2133.0,M,M,240.0,32,28.0,2.0
KILN,2010-10-24 00:00:00,5,776.0,2303.0,9.6,-11.4,M,M,M,M
KILN,2010-10-24 00:00:00,6,763.4,2438.0,M,M,240.0,32,34.0,2.0
KILN,2010-10-24 00:00:00,5,749.0,2595.0,8.0,-3.0,M,M,M,M
KILN,2010-10-24 00:00:00,5,736.0,2738.0,7.0,-5.0,M,M,M,M
KILN,2010-10-24 00:00:00,6,735.6,2743.0,M,M,235.0,26,37.0,3.0
KILN,2010-10-24 00:00:00,5,731.0,2794.0,6.6,-2.4,M,M,M,M
KILN,2010-10-24 00:00:00,5,716.0,2963.0,5.0,-1.0,M,M,M,M
KILN,2010-10-24 00:00:00,4,700.0,3152.0,3.8,-2.2,250.0,29,41.0,3.0
KILN,2010-10-24 00:00:00,5,666.0,3552.0,0.8,-4.2,M,M,M,M
KILN,2010-10-24 00:00:00,5,659.0,3636.0,0.0,-2.8,M,M,M,M
KILN,2010-10-24 00:00:00,6,657.3,3657.0,M,M,260.0,39,48.0,4.0
KILN,2010-10-24 00:00:00,5,651.0,3733.0,-0.3,-1.9,M,M,M,M
KILN,2010-10-24 00:00:00,6,632.5,3962.0,M,M,260.0,42,52.0,5.0
KILN,2010-10-24 00:00:00,5,632.0,3968.0,-1.7,-5.0,M,M,M,M
KILN,2010-10-24 00:00:00,5,624.0,4069.0,-2.3,-4.5,M,M,M,M
